Method,k,strobefraction,unique
mixedhybridstrobes2,18,0,77.9
mixedhybridstrobes2,24,0,82.2
mixedhybridstrobes2,30,0,84.8
mixedhybridstrobes2,36,0,86.6
mixedhybridstrobes2,18,10,78.1
mixedhybridstrobes2,24,10,82.4
mixedhybridstrobes2,30,10,84.9
mixedhybridstrobes2,36,10,86.7
mixedhybridstrobes2,18,20,78.4
mixedhybridstrobes2,24,20,82.5
mixedhybridstrobes2,30,20,85
mixedhybridstrobes2,36,20,86.7
mixedhybridstrobes2,18,30,78.6
mixedhybridstrobes2,24,30,82.6
mixedhybridstrobes2,30,30,85.1
mixedhybridstrobes2,36,30,86.8
mixedhybridstrobes2,18,40,78.8
mixedhybridstrobes2,24,40,82.8
mixedhybridstrobes2,30,40,85.2
mixedhybridstrobes2,36,40,86.8
mixedhybridstrobes2,18,50,79.1
mixedhybridstrobes2,24,50,82.9
mixedhybridstrobes2,30,50,85.3
mixedhybridstrobes2,36,50,86.9
mixedhybridstrobes2,18,60,79.3
mixedhybridstrobes2,24,60,83
mixedhybridstrobes2,30,60,85.4
mixedhybridstrobes2,36,60,86.9
mixedhybridstrobes2,18,70,79.5
mixedhybridstrobes2,24,70,83.2
mixedhybridstrobes2,30,70,85.5
mixedhybridstrobes2,36,70,87
mixedhybridstrobes2,18,80,79.7
mixedhybridstrobes2,24,80,83.4
mixedhybridstrobes2,30,80,85.5
mixedhybridstrobes2,36,80,87.1
mixedhybridstrobes2,18,90,79.9
mixedhybridstrobes2,24,90,83.5
mixedhybridstrobes2,30,90,85.6
mixedhybridstrobes2,36,90,87.1
mixedhybridstrobes2,18,100,80.2
mixedhybridstrobes2,24,100,83.7
mixedhybridstrobes2,30,100,85.7
mixedhybridstrobes2,36,100,87.2
mixedhybridstrobes3,18,0,77.9
mixedhybridstrobes3,24,0,82.2
mixedhybridstrobes3,30,0,84.8
mixedhybridstrobes3,36,0,86.6
mixedhybridstrobes3,18,10,78.2
mixedhybridstrobes3,24,10,82.6
mixedhybridstrobes3,30,10,85
mixedhybridstrobes3,36,10,86.7
mixedhybridstrobes3,18,20,78.7
mixedhybridstrobes3,24,20,82.9
mixedhybridstrobes3,30,20,85.3
mixedhybridstrobes3,36,20,86.9
mixedhybridstrobes3,18,30,79.1
mixedhybridstrobes3,24,30,83.2
mixedhybridstrobes3,30,30,85.5
mixedhybridstrobes3,36,30,87
mixedhybridstrobes3,18,40,79.4
mixedhybridstrobes3,24,40,83.5
mixedhybridstrobes3,30,40,85.8
mixedhybridstrobes3,36,40,87.2
mixedhybridstrobes3,18,50,79.8
mixedhybridstrobes3,24,50,83.9
mixedhybridstrobes3,30,50,86
mixedhybridstrobes3,36,50,87.3
mixedhybridstrobes3,18,60,80.2
mixedhybridstrobes3,24,60,84.2
mixedhybridstrobes3,30,60,86.1
mixedhybridstrobes3,36,60,87.5
mixedhybridstrobes3,18,70,80.6
mixedhybridstrobes3,24,70,84.4
mixedhybridstrobes3,30,70,86.3
mixedhybridstrobes3,36,70,87.6
mixedhybridstrobes3,18,80,80.7
mixedhybridstrobes3,24,80,84.6
mixedhybridstrobes3,30,80,86.5
mixedhybridstrobes3,36,80,87.7
mixedhybridstrobes3,18,90,80.9
mixedhybridstrobes3,24,90,84.7
mixedhybridstrobes3,30,90,86.6
mixedhybridstrobes3,36,90,87.9
mixedhybridstrobes3,18,100,81.1
mixedhybridstrobes3,24,100,84.8
mixedhybridstrobes3,30,100,86.9
mixedhybridstrobes3,36,100,88.1
mixedminstrobes2,18,0,77.9
mixedminstrobes2,24,0,82.2
mixedminstrobes2,0,0,84.8
mixedminstrobes2,36,0,86.6
mixedminstrobes2,18,10,78.2
mixedminstrobes2,24,10,82.4
mixedminstrobes2,30,10,85
mixedminstrobes2,36,10,86.7
mixedminstrobes2,18,20,78.3
mixedminstrobes2,24,20,82.6
mixedminstrobes2,30,20,85.1
mixedminstrobes2,36,20,86.8
mixedminstrobes2,18,30,78.7
mixedminstrobes2,24,30,82.7
mixedminstrobes2,30,30,85.2
mixedminstrobes2,36,30,86.9
mixedminstrobes2,18,40,79
mixedminstrobes2,24,40,82.9
mixedminstrobes2,30,40,85.4
mixedminstrobes2,36,40,87
mixedminstrobes2,18,50,79.2
mixedminstrobes2,24,50,83.1
mixedminstrobes2,30,50,85.5
mixedminstrobes2,36,50,87.1
mixedminstrobes2,18,60,79.4
mixedminstrobes2,24,60,83.4
mixedminstrobes2,30,60,85.7
mixedminstrobes2,36,60,87.2
mixedminstrobes2,18,70,79.6
mixedminstrobes2,24,70,83.6
mixedminstrobes2,30,70,85.8
mixedminstrobes2,36,70,87.3
mixedminstrobes2,18,80,79.8
mixedminstrobes2,24,80,83.8
mixedminstrobes2,30,80,86
mixedminstrobes2,36,80,87.4
mixedminstrobes2,18,90,80.1
mixedminstrobes2,24,90,84.1
mixedminstrobes2,30,90,86.1
mixedminstrobes2,36,90,87.5
mixedminstrobes2,18,100,80.3
mixedminstrobes2,24,100,84.3
mixedminstrobes2,30,100,86.3
mixedminstrobes2,36,100,87.7
mixedminstrobes3,18,0,77.9
mixedminstrobes3,24,0,82.2
mixedminstrobes3,30,0,84.8
mixedminstrobes3,36,0,86.6
mixedminstrobes3,18,10,78.1
mixedminstrobes3,24,10,82.6
mixedminstrobes3,30,10,85
mixedminstrobes3,36,10,86.8
mixedminstrobes3,18,20,78.3
mixedminstrobes3,24,20,83
mixedminstrobes3,30,20,85.3
mixedminstrobes3,36,20,86.9
mixedminstrobes3,18,30,78.4
mixedminstrobes3,24,30,83.2
mixedminstrobes3,30,30,85.5
mixedminstrobes3,36,30,87.1
mixedminstrobes3,18,40,78.6
mixedminstrobes3,24,40,83.5
mixedminstrobes3,30,40,85.8
mixedminstrobes3,36,40,87.3
mixedminstrobes3,18,50,78.7
mixedminstrobes3,24,50,83.8
mixedminstrobes3,30,50,86
mixedminstrobes3,36,50,87.5
mixedminstrobes3,18,60,78.9
mixedminstrobes3,24,60,84.2
mixedminstrobes3,30,60,86.3
mixedminstrobes3,36,60,87.7
mixedminstrobes3,18,70,79
mixedminstrobes3,24,70,84.6
mixedminstrobes3,30,70,86.5
mixedminstrobes3,36,70,87.9
mixedminstrobes3,18,80,79.2
mixedminstrobes3,24,80,85
mixedminstrobes3,30,80,86.8
mixedminstrobes3,36,80,88.1
mixedminstrobes3,18,90,79.4
mixedminstrobes3,24,90,85.3
mixedminstrobes3,30,90,87.1
mixedminstrobes3,36,90,88.3
mixedminstrobes3,18,100,79.5
mixedminstrobes3,24,100,85.6
mixedminstrobes3,30,100,87.3
mixedminstrobes3,36,100,88.5
mixedrandstrobes2,18,0,77.9
mixedrandstrobes2,24,0,82.2
mixedrandstrobes2,30,0,84.8
mixedrandstrobes2,36,0,86.6
mixedrandstrobes2,18,10,78.1
mixedrandstrobes2,24,10,82.3
mixedrandstrobes2,30,10,84.9
mixedrandstrobes2,36,10,86.7
mixedrandstrobes2,18,20,78.3
mixedrandstrobes2,24,20,82.5
mixedrandstrobes2,30,20,85.1
mixedrandstrobes2,36,20,86.8
mixedrandstrobes2,18,30,78.5
mixedrandstrobes2,24,30,82.7
mixedrandstrobes2,30,30,85.2
mixedrandstrobes2,36,30,86.9
mixedrandstrobes2,18,40,78.7
mixedrandstrobes2,24,40,82.9
mixedrandstrobes2,30,40,85.3
mixedrandstrobes2,36,40,86.9
mixedrandstrobes2,18,50,78.8
mixedrandstrobes2,24,50,83.1
mixedrandstrobes2,30,50,85.4
mixedrandstrobes2,36,50,87
mixedrandstrobes2,18,60,78.9
mixedrandstrobes2,24,60,83.2
mixedrandstrobes2,30,60,85.5
mixedrandstrobes2,36,60,87
mixedrandstrobes2,18,70,79
mixedrandstrobes2,24,70,83.3
mixedrandstrobes2,30,70,85.6
mixedrandstrobes2,36,70,87.1
mixedrandstrobes2,18,80,79.2
mixedrandstrobes2,24,80,83.5
mixedrandstrobes2,30,80,85.7
mixedrandstrobes2,36,80,87.2
mixedrandstrobes2,18,90,79.4
mixedrandstrobes2,24,90,83.6
mixedrandstrobes2,30,90,85.8
mixedrandstrobes2,36,90,87.2
mixedrandstrobes2,18,100,79.5
mixedrandstrobes2,24,100,83.7
mixedrandstrobes2,30,100,85.9
mixedrandstrobes2,36,100,87.3
mixedrandstrobes3,18,0,77.9
mixedrandstrobes3,24,0,82.2
mixedrandstrobes3,30,0,84.8
mixedrandstrobes3,36,0,86.6
mixedrandstrobes3,18,10,77.7
mixedrandstrobes3,24,10,82.5
mixedrandstrobes3,30,10,85
mixedrandstrobes3,36,10,86.7
mixedrandstrobes3,18,20,77.6
mixedrandstrobes3,24,20,82.8
mixedrandstrobes3,30,20,85.2
mixedrandstrobes3,36,20,86.9
mixedrandstrobes3,18,30,77.6
mixedrandstrobes3,24,30,83.1
mixedrandstrobes3,30,30,85.5
mixedrandstrobes3,36,30,87.1
mixedrandstrobes3,18,40,77.5
mixedrandstrobes3,24,40,83.5
mixedrandstrobes3,30,40,85.7
mixedrandstrobes3,36,40,87.3
mixedrandstrobes3,18,50,77.4
mixedrandstrobes3,24,50,83.8
mixedrandstrobes3,30,50,85.9
mixedrandstrobes3,36,50,87.5
mixedrandstrobes3,18,60,77.2
mixedrandstrobes3,24,60,84.1
mixedrandstrobes3,30,60,86.1
mixedrandstrobes3,36,60,87.6
mixedrandstrobes3,18,70,77
mixedrandstrobes3,24,70,84.4
mixedrandstrobes3,30,70,86.3
mixedrandstrobes3,36,70,87.7
mixedrandstrobes3,18,80,76.9
mixedrandstrobes3,24,80,84.6
mixedrandstrobes3,30,80,86.5
mixedrandstrobes3,36,80,87.9
mixedrandstrobes3,18,90,77
mixedrandstrobes3,24,90,84.8
mixedrandstrobes3,30,90,86.6
mixedrandstrobes3,36,90,88.1
mixedrandstrobes3,18,100,77
mixedrandstrobes3,24,100,85
mixedrandstrobes3,30,100,86.7
mixedrandstrobes3,36,100,88.3
mixedaltstrobes2,18,100,78.5
mixedaltstrobes2,24,100,83.6
mixedaltstrobes2,30,100,85.8
mixedaltstrobes2,36,100,87.2
kmers,18,0,77.9
kmers,24,0,82.2
kmers,30,0,84.8
kmers,36,0,86.6
mixedaltstrobes2,18,10,77.9
mixedaltstrobes2,24,10,82.3
mixedaltstrobes2,30,10,84.9
mixedaltstrobes2,36,10,86.6
mixedaltstrobes2,18,20,78.0
mixedaltstrobes2,24,20,82.4
mixedaltstrobes2,30,20,85.0
mixedaltstrobes2,36,20,86.7
mixedaltstrobes2,18,30,78.0
mixedaltstrobes2,24,30,82.5
mixedaltstrobes2,30,30,85.1
mixedaltstrobes2,36,30,86.8
mixedaltstrobes2,18,40,78.0
mixedaltstrobes2,24,40,82.7
mixedaltstrobes2,30,40,85.2
mixedaltstrobes2,36,40,86.9
mixedaltstrobes2,18,50,78.0
mixedaltstrobes2,24,50,82.8
mixedaltstrobes2,30,50,85.2
mixedaltstrobes2,36,50,86.9
mixedaltstrobes2,18,60,78.1
mixedaltstrobes2,24,60,82.9
mixedaltstrobes2,30,60,85.3
mixedaltstrobes2,36,60,87.0
mixedaltstrobes2,18,70,78.2
mixedaltstrobes2,24,70,83.0
mixedaltstrobes2,30,70,85.4
mixedaltstrobes2,36,70,87.0
mixedaltstrobes2,18,80,78.2
mixedaltstrobes2,24,80,83.1
mixedaltstrobes2,30,80,85.5
mixedaltstrobes2,36,80,87.1
mixedaltstrobes2,18,90,78.2
mixedaltstrobes2,24,90,83.2
mixedaltstrobes2,30,90,85.5
mixedaltstrobes2,36,90,87.2
